gvkey,conm,latest_observed_date,risk_window,pred_risk_next_12m
043081,EPWK HOLDINGS LTD,2025-06-30,Apr 2026 → Apr 2027 (approx),0.93660647
038025,LIMINATUS PHARMA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.89920837
018290,DSS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.80912924
010235,TRINITY PLACE HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.79116046
037541,BIOATLA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.79007715
034753,GENERATION INCOME PROPER INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.74323064
039174,LAVORO LTD,2025-06-30,Apr 2026 → Apr 2027 (approx),0.7310149
039409,ALPHA MODUS HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.7098645
041130,FOXX DEVELOPMENT HOLDING INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.7044758
031848,AVENUE THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.66943836
050791,SKY QUARRY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.6637278
038242,LONGEVITY HEALTH HLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.6637125
037819,ALLURION TECHNOLOGIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.65218234
027794,WOLFSPEED INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.65205413
345920,HYDROFARM HLDNG GP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.6391908
187551,TRINSEO PLC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.6183013
349337,SPECTRAL AI INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.6181282
040084,ROADZEN INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.60755444
050382,ZSPACE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.59876937
041474,NEWTON GOLF COMPANY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.59124124
032941,BIOXCEL THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.5842779
253355,AVITA MEDICAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.5824511
026028,EMPIRE PETROLEUM CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.5754778
065905,INOTIV INC,2025-09-30,Apr 2026 → Apr 2027 (approx),0.57255423
041896,PINEAPPLE FINANCIAL INC,2025-08-31,Apr 2026 → Apr 2027 (approx),0.56905013
045049,ENERGYS GROUP LTD,2025-06-30,Apr 2026 → Apr 2027 (approx),0.5656708
062302,SPAR GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.55497587
032647,SENMIAO TECHNOLOGY LTD,2025-03-31,Apr 2026 → Apr 2027 (approx),0.5244617
018549,CLEARONE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.51524323
187122,LIVEONE INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.5127952
033614,ELECTROCORE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.48696014
027574,TPI COMPOSITES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.46537304
045712,FUNCTIONAL BRANDS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.4590056
036300,LYRA THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.44927824
036519,IM CANNABIS CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.44558173
041686,SNAIL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.44318905
037660,STARDUST POWER INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.44090903
039631,GRAPHJET TECHNOLOGY,2025-09-30,Apr 2026 → Apr 2027 (approx),0.4339488
039746,AERIES TECHNOLOGY INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.4326817
037490,LUMINAR TECHNOLOGIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.42736468
039262,DEVVSTREAM CORP,2025-07-31,Apr 2026 → Apr 2027 (approx),0.42476636
038717,CHROME HOLDING CO,2025-03-31,Apr 2026 → Apr 2027 (approx),0.41575795
004124,DYNATRONICS CORP,2025-06-30,Apr 2026 → Apr 2027 (approx),0.4153212
038030,ENVOY MEDICAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.41443118
066042,BIORESTORATIVE THERAPIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.41037843
026356,ARTELO BIOSCIENCES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.40538096
040511,ASPIRE BIOPHARMA HOLDING INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.4040497
039548,OSTIN TECHNOLOGY GROU CO LTD,2025-09-30,Apr 2026 → Apr 2027 (approx),0.3938728
022703,GREENPOWER MOTOR CO INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.3930773
039160,ENSYSCE BIOSCIENCES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.38533226
026891,BIOTRICITY INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.38433015
045037,MOBILE-HEALTH NETWORK SOLTNS,2025-06-30,Apr 2026 → Apr 2027 (approx),0.37946075
184548,SRX HEALTH SOLUTIONS INC,2025-09-30,Apr 2026 → Apr 2027 (approx),0.3763289
060801,SOCKET MOBILE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.36328542
041636,CALIBERCOS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.35517746
050437,WELLGISTICS HEALTH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.34280384
271987,NUWELLIS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.34110498
254096,PLUS THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.33455843
043435,SHIMMICK CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.33241078
036336,UTIME LTD,2025-03-31,Apr 2026 → Apr 2027 (approx),0.32820803
286396,EVOGENE LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.32418728
042910,SYRA HEALTH CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.32321233
162453,AEMETIS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.32253832
178847,VYOME HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.31683657
040702,LOCAFY LTD,2025-06-30,Apr 2026 → Apr 2027 (approx),0.31480494
012575,CYANOTECH CORP,2025-03-31,Apr 2026 → Apr 2027 (approx),0.3104901
036641,RACKSPACE TECHNOLOGY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.3057089
138341,CURIS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.2987869
177981,SINTX TECHNOLOGIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.29608747
039903,GCT SEMICONDUCTOR HOLDNG INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.29271796
041892,PERPETUALS.COM LTD -ADR,2025-04-30,Apr 2026 → Apr 2027 (approx),0.29123867
024598,BIOCARDIA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.28954902
051841,VIEWBIX INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.2878731
024310,RENX ENTERPRISES CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.2850022
034066,111 INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.28098384
038496,ERNEXA THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.28005692
165286,APPTECH PAYMENTS CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.27665114
043455,MEDICUS PHARMA LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.2765785
043560,PERFECT MOMENT LTD,2025-03-31,Apr 2026 → Apr 2027 (approx),0.26706448
063446,AINOS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.26592904
029332,PARKERVISION INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.265383
035748,XCHANGE TEC.INC -ADR,2025-09-30,Apr 2026 → Apr 2027 (approx),0.263417
040723,AMERICAN REBEL HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.25928918
039912,NEUROSENSE THERAPEUTICS LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.2566391
188355,LIQTECH INTERNATIONAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.25499335
043757,MIXED MARTIAL ARTS GROUP LTD,2025-06-30,Apr 2026 → Apr 2027 (approx),0.25330514
038537,INSPIRA TECH OXY BHN LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.25175706
025105,PRESURANCE HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.2509179
038804,ZYVERSA THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.2500684
039231,WHEELS UP EXPERIENCE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.24649681
338703,SAVERONE 2014 LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.24588472
012377,RESEARCH FRONTIERS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.240942
038900,HCW BIOLOGICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.24066208
039966,CID HOLDCO INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.23834686
037526,CXAPP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.23498933
038308,ONEMEDNET CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.23209465
039318,FARADAY FUTURE INTELLIGENT,2025-12-31,Apr 2026 → Apr 2027 (approx),0.23008163
023790,CRYO-CELL INTERNATIONAL INC,2025-11-30,Apr 2026 → Apr 2027 (approx),0.22825767
297507,FORESIGHT AUTONOMOUS,2025-12-31,Apr 2026 → Apr 2027 (approx),0.22595565
146659,ABUNDIA GLOBAL IMPACT GRP IN,2025-12-31,Apr 2026 → Apr 2027 (approx),0.22256432
018978,ONE GP HOSPITALITY (THE),2025-12-31,Apr 2026 → Apr 2027 (approx),0.21879141
041936,BULLFROG AI HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.21678996
166460,ASCENT SOLAR TECH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.21380495
164293,STRATA SKIN SCIENCES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.21279977
032233,DARE BIOSCIENCE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.21070154
033483,XORTX THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.20959732
031629,READING INTL INC  -CL A,2025-12-31,Apr 2026 → Apr 2027 (approx),0.2072135
041176,BIOAFFINITY TECHNOLOGIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.20720981
039853,TEVOGEN BIO HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.20641491
040486,DIH HOLDING US INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.2054664
037857,AEON BIOPHARMA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.20336512
011703,FLUX POWER HOLDINGS INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.20139663
042890,60 DEGREES PHARMACEUTICA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.20095685
008611,POWER REIT,2025-12-31,Apr 2026 → Apr 2027 (approx),0.1999937
037236,AUSTRALIAN OILSEEDS HLDG LTD,2025-06-30,Apr 2026 → Apr 2027 (approx),0.19809438
045655,TEN HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.19785242
033068,PURPLE INNOVATION INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.19535755
039834,ZOOMCAR HOLDINGS INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.19364402
034469,SERINA THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.19209088
061321,SMITH MICRO SOFTWARE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.18893014
039863,ONCONETIX INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.18491548
166491,IGC PHARMA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.18174367
182172,MERIDIAN HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.18151246
039875,ESS TECH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.18147
043100,SURF AIR MOBILITY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17989826
039436,URGENT.LY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17936043
034382,AVALON GLOBOCARE CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17693889
042895,SOLOWIN HOLDINGS,2025-03-31,Apr 2026 → Apr 2027 (approx),0.17473271
035814,BIOMX INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17467813
108319,CAMBER ENERGY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17386545
042984,AZITRA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17361172
133871,SANGAMO THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17354205
039501,CALIDI BIOTHERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17271383
023098,ARCADIA BIOSCIENCES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17095508
062525,AIM IMMUNOTECH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17021102
041227,ACTELIS NETWORKS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.17009054
035210,ATERIAN INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.16960168
043386,PMGC HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.16920258
009393,SAN JUAN BASIN ROYALTY TR,2025-12-31,Apr 2026 → Apr 2027 (approx),0.16693175
034645,GIFTIFY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.16638978
043674,CLEANCORE SOLUTIONS INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.16496375
035959,UCOMMUNE INTERNATIONAL LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.16416529
039728,LUCID DIAGNOSTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.16308615
066697,INOVIO PHARMACEUTICALS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.16308594
185587,NEXTTRIP INC,2025-02-28,Apr 2026 → Apr 2027 (approx),0.16125324
051265,HAPPY CITY HOLDINGS LTD,2025-08-31,Apr 2026 → Apr 2027 (approx),0.15888365
043758,OS THERAPIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.15849875
022318,RELIANCE GLOBAL GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.15678748
039427,MOMENTUS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.15616468
035422,INTELLIGENT BIO SOLUTION INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.1554978
035019,WORKSPORT LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.15358056
135044,PIXELWORKS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.1518173
050379,DIRECTBOOKING TCHNLGY CO LTD,2025-03-31,Apr 2026 → Apr 2027 (approx),0.15075956
112030,CUMULUS MEDIA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.15067133
163965,CYTOSORBENTS CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.15034954
033467,BEYOND AIR INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.14273189
037134,BIODESIX INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.13839045
037807,LONGEVERON INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.13807751
148391,BRAND HOUSE COLLECTIVE INC,2025-01-31,Apr 2026 → Apr 2027 (approx),0.13730457
015201,ELECTRA BATTERY MATERIALS CO,2025-12-31,Apr 2026 → Apr 2027 (approx),0.13370796
043104,AUTOZI INTERNET TECHN GLOBL,2025-09-30,Apr 2026 → Apr 2027 (approx),0.13258415
045350,NETCLASS TECHNOLOGY INC,2025-09-30,Apr 2026 → Apr 2027 (approx),0.13155313
008213,ACCENDRA HEALTH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.13025837
165215,ALAUNOS THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.12742727
039202,RAPID MICRO BIOSYSTEMS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.12614872
041426,TREASURE GLOBAL INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.12466998
034418,NEW FORTRESS ENERGY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.123256
018047,NOODLES & CO,2025-12-31,Apr 2026 → Apr 2027 (approx),0.12309969
036409,SKILLFUL CRAFT ED TECH,2025-03-31,Apr 2026 → Apr 2027 (approx),0.122429915
032935,CARDLYTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.121463284
042847,INTERACTIVE STRENGTH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.121052094
064645,BIO-KEY INTERNATIONAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.120861195
339950,NYXOAH S A,2025-12-31,Apr 2026 → Apr 2027 (approx),0.11684303
036632,BONK INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.1168196
043935,HEALTHY CHOICE WELLNESS CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.11580636
020074,PETVIVO HOLDINGS INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.114639275
022879,GREENPRO CAPITAL CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.113952994
040829,VISIONARY HOLDINGS INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.11326645
037797,P3 HEALTH PARTNERS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.11282867
004632,LISATA THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.111825995
035648,APREA THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.11125267
041569,PARAZERO TECHNOLOGIES LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.10955359
165557,BIRKS GROUP INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.10908719
026873,MOLECULIN BIOTECH INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.10732348
040672,KNIGHTSCOPE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.107007
036335,CISO GLOBAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.106709525
039620,CINGULATE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.10477674
039342,BIOFRONTERA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.10466061
033749,BIONANO GENOMICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.10450398
021103,LIFEWARD LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.10436624
050260,LAKESIDE HOLDING LTD,2025-06-30,Apr 2026 → Apr 2027 (approx),0.101618625
023001,AUTHID INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.09957859
031418,PROPHASE LABS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.09955488
065430,CHILDRENS PLACE INC,2026-01-31,Apr 2026 → Apr 2027 (approx),0.09868137
026817,OUTLOOK THERAPEUTICS INC,2025-09-30,Apr 2026 → Apr 2027 (approx),0.09842861
165510,ORIGIN AGRITECH LTD,2025-09-30,Apr 2026 → Apr 2027 (approx),0.09828488
040536,NEXALIN TECHNOLOGY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.09710013
031507,NINE ENERGY SERVICE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.094382554
018398,BEELINE HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.09422333
164146,KAIVAL BRANDS INNV GROUP INC,2025-10-31,Apr 2026 → Apr 2027 (approx),0.09421666
032861,HYPERION DEFI INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.09365839
176378,REEDS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.09336411
050658,BASEL MEDICAL GROUP LTD,2025-06-30,Apr 2026 → Apr 2027 (approx),0.09275218
038014,ROYALTY MANAGEMENT HOLD CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.09134579
325212,BRENMILLER ENERGY LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.09122846
045328,MING SHING GROUP HOLDING LTD,2025-03-31,Apr 2026 → Apr 2027 (approx),0.0907556
016009,SPORTSMANS WAREHOUSE HLDGS,2026-01-31,Apr 2026 → Apr 2027 (approx),0.09024385
039104,TEMPEST THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08964613
038874,NRX PHARMACEUTICALS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.089447886
038783,SENTI BIOSCIENCES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.089290306
176593,CARPARTS COM INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08921479
040849,EXPION360 INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08857114
026630,REALLOYS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08795616
019042,SOLAI LTD  -ADR,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0878103
039712,VICARIOUS SURGICAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08737029
037820,ECARX HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.087240055
038592,FLYEXCLUSIVE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08351852
038109,GROVE COLLABORATIVE HLDG INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.083491564
036003,TAOWEAVE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08339513
133869,LIVEPERSON INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08310728
033049,MARTI TECHNOLOGIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08241153
039724,ARBE ROBOTICS LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08190946
034055,KLX ENERGY SERVS HLDNG,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0816312
036535,STABLEX TECHNOLOGIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.08064034
050435,BRAG HOUSE HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.078990005
185624,SPIRIT AVIATION HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.078942835
024506,PULMATRIX INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07855763
041076,SUNATION ENERGY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07827498
039207,VINFAST AUTO LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07784108
040132,SOUTHLAND HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07761436
025302,INTRUSION INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07759205
039121,MOBIX LABS INC,2025-09-30,Apr 2026 → Apr 2027 (approx),0.0770694
030857,CARVER BANCORP INC,2025-03-31,Apr 2026 → Apr 2027 (approx),0.07687212
039564,GREENIDGE GENERATIN HOLD INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07665889
004001,DIXIE GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.076493144
040601,HWH INTERNATIONAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07634166
050528,PARK HA BIOLOGCL TECH CO LTD,2025-10-31,Apr 2026 → Apr 2027 (approx),0.075087756
024901,LM FUNDING AMERICA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07481614
050969,STAK INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.07323117
012485,OPTIMUM COMMUNICATIONS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07310045
036235,MOVING IMAGE TECHNOLOGIS INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.07286393
050509,INLIF LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07234956
033155,LUNAI BIOWORKS INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.07214342
043573,WF INTERNATIONAL LTD,2025-09-30,Apr 2026 → Apr 2027 (approx),0.071760945
037684,MOOLEC SCIENCE SA,2025-06-30,Apr 2026 → Apr 2027 (approx),0.071642496
039626,TOP FINANCIAL GROUP LTD,2025-03-31,Apr 2026 → Apr 2027 (approx),0.07153223
034103,APTORUM GROUP LIMITED,2025-12-31,Apr 2026 → Apr 2027 (approx),0.070953645
331856,IMMUNIC INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.07094408
063952,INNOVATE CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.069851674
007662,BIOMERICA INC,2025-05-31,Apr 2026 → Apr 2027 (approx),0.06914731
039294,SOPHIA GENETICS SA,2025-12-31,Apr 2026 → Apr 2027 (approx),0.06883433
039570,OFFERPAD SOLUTIONS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.067846015
035009,GREENLANE HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.06740546
017185,22ND CENTURY GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.06730818
177637,AMC ENTERTAINMENT HOLDINGS,2025-12-31,Apr 2026 → Apr 2027 (approx),0.06619513
185380,SEMILEDS CORP,2025-08-31,Apr 2026 → Apr 2027 (approx),0.06617534
037633,CLENE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.06493301
065036,QUICKLOGIC CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.063959494
178882,IVEDA SOLUTIONS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.06323467
036863,AMESITE INC,2025-06-30,Apr 2026 → Apr 2027 (approx),0.06290658
039801,ABVC BIOPHARMA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.06261609
039525,HUMACYTE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.06254782
155754,ASHFORD HOSPITALITY TRUST,2025-12-31,Apr 2026 → Apr 2027 (approx),0.06198993
237269,XENETIC BIOSCIENCES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.060603008
017024,GLUCOTRACK INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.060253516
045539,PICOCELA INC -ADR,2025-09-30,Apr 2026 → Apr 2027 (approx),0.059918493
129823,BEASLEY BROADCAST GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.059564233
105630,PACIFIC BOOKER MINERALS INC,2025-01-31,Apr 2026 → Apr 2027 (approx),0.05897256
017175,TUHURA BIOSCIENCES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.058488794
033603,DOMO INC,2026-01-31,Apr 2026 → Apr 2027 (approx),0.05826779
040236,TENON MEDICAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.056313217
041424,SRIVARU HOLDING LTD,2025-03-31,Apr 2026 → Apr 2027 (approx),0.056196462
148772,CBAK ENERGY TECHNOLOGY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.05571783
041270,HEARTSCIENCES INC,2025-04-30,Apr 2026 → Apr 2027 (approx),0.055163562
043574,FIBROBIOLOGICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.05515813
033634,QUANTUM BIOPHARMA LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.05514489
040327,ANGEL STUDIOS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.055141196
107843,MARKER THERAPEUTICS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.05502812
356289,POWERBANK CORP,2025-06-30,Apr 2026 → Apr 2027 (approx),0.054882996
011856,TRUIST FINANCIAL CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.05484367
